comparison_key,raw_code_examples,raw_title_examples,source_row_count,metric_value,comparison_title,metric_name,comparison_level,source_file,sheet_name,metric_zscore,metric_percentile
database-administrators,15-1242 | 15-1243,Database Administrators | Database Architects,2,0.3046808071144914,Database administrators and architects,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,1.416193240029453,0.8885630498533724
delivery-truck-drivers-and-driver-sales-workers,53-3031 | 53-3033,Driver/Sales Workers | Light Truck Drivers,2,0.0945223906176517,Delivery truck drivers and driver/sales workers,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,-0.8600942945643533,0.2316715542521994
dental-and-ophthalmic-laboratory-technicians-and-medical-appliance-technicians,51-9081 | 51-9082 | 51-9083,Dental Laboratory Technicians | Medical Appliance Technicians | Ophthalmic Laboratory Technicians,3,0.0466370124637403,Dental and ophthalmic laboratory technicians and medical appliance technicians,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,-1.3787548897382715,0.05865102639296188
dental-assistants,31-9091,Dental Assistants,1,0.0553854108929098,Dental assistants,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,-1.2839984168644953,0.09090909090909091
dental-hygienists,29-1292,Dental Hygienists,1,0.0574836696575682,Dental hygienists,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,-1.2612715599060162,0.10263929618768329
dentists,29-1021 | 29-1022 | 29-1023 | 29-1024,"Dentists, General | Oral and Maxillofacial Surgeons | Orthodontists | Prosthodontists",4,0.0665722881298569,Dentists,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,-1.1628300638193685,0.12903225806451613
desktop-publishers,43-9031,Desktop Publishers,1,0.3107367491781907,Desktop publishers,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,1.481786927208897,0.9032258064516129
diagnostic-medical-sonographers,29-2032,Diagnostic Medical Sonographers,1,0.0748058408340331,Diagnostic medical sonographers,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,-1.073650036208058,0.15835777126099707
diesel-service-technicians-and-mechanics,49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,1,0.0993443910257489,Diesel service technicians and mechanics,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,-0.807865791877082,0.2404692082111437
dietitians-and-nutritionists,29-1031,Dietitians and Nutritionists,1,0.2212822553688573,Dietitians and nutritionists,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,0.5128790311282919,0.7008797653958945
drafters,17-3011 | 17-3012 | 17-3013,Architectural and Civil Drafters | Electrical and Electronics Drafters | Mechanical Drafters,3,0.2344339300503152,Drafters,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,0.655328682374526,0.7536656891495601
drywall-and-ceiling-tile-installers-and-tapers,47-2081 | 47-2082,Drywall and Ceiling Tile Installers | Tapers,2,0.0463118026725969,"Drywall installers, ceiling tile installers, and tapers",microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,-1.3822773325033402,0.05571847507331378
economists,19-3011,Economists,1,0.3277389094051159,Economists,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,1.6659423183221451,0.9354838709677419
editors,27-3041,Editors,1,0.3674755296093486,Editors,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,2.0963413227757375,0.9765395894428153
electrical-and-electronics-engineering-technicians,17-3023,Electrical and Electronic Engineering Technologists and Technicians,1,0.2028011946138097,Electrical and electronic engineering technologists and technicians,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,0.3127052340278638,0.6715542521994134
electrical-and-electronics-engineers,17-2071 | 17-2072,"Electrical Engineers | Electronics Engineers, Except Computer",2,0.1920523173251403,Electrical and electronics engineers,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,0.19628098706726435,0.6217008797653959
electrical-and-electronics-installers-and-repairers,49-2092 | 49-2093 | 49-2094 | 49-2095 | 49-2096,"Electric Motor, Power Tool, and Related Repairers | Electrical and Electronics Installers and Repairers, Transportation Equipment | Electrical and Electronics Repairers, Commercial and Industrial Equipment | Electrical and Electronics Repairers, Powerhouse, Substation, and Relay | Electronic Equipment Installers and Repairers, Motor Vehicles",5,0.1409240351833031,Electrical and electronics installers and repairers,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,-0.35750445367148076,0.39589442815249265
electricians,47-2111,Electricians,1,0.1509300712949303,Electricians,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,-0.24912613767891148,0.4310850439882698
electro-mechanical-technicians,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,1,0.168215479624192,Electro-mechanical and mechatronics technologists and technicians,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,-0.061902803176607374,0.5190615835777126
